"index","filename","true_label","target_label"
"1","000b7d55b6184b08.png","giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca","meat loaf, meatloaf"
"2","001b5e6f1b89fd3b.png","gondola","wing"
"3","00312c7e7196baf4.png","lycaenid, lycaenid butterfly","cocker spaniel, English cocker spaniel, cocker"
"4","00c3cd597f1ee96f.png","American coot, marsh hen, mud hen, water hen, Fulica americana","jacamar"
"5","01244097ca8ffdfa.png","lorikeet","fountain"
"6","0134ba03294509a1.png","ballplayer, baseball player","Arabian camel, dromedary, Camelus dromedarius"
"7","014f0024918a7b6f.png","ostrich, Struthio camelus","vault"
"8","01bdc0cfe670f708.png","cannon","drilling platform, offshore rig"
"9","01dd15caa1b2c7b4.png","long-horned beetle, longicorn, longicorn beetle","espresso maker"
"10","01f824264783f58d.png","espresso","nail"
"11","01fa4be27dd11b5d.png","bobsled, bobsleigh, bob","strainer"
"12","0212aa8aa912ee45.png","lycaenid, lycaenid butterfly","bakery, bakeshop, bakehouse"
"13","024f73e53c3c1f1d.png","grand piano, grand","mailbox, letter box"
"14","02dbe78a73db2808.png","geyser","pug, pug-dog"
"15","02eb799d147d5f91.png","library","safety pin"
"16","038fd7a750733bb5.png","jay","echidna, spiny anteater, anteater"
"17","03f90f7138f761e8.png","monastery","chainlink fence"
"18","0411ca972e637297.png","espresso","paintbrush"
"19","04546cc5e537d7cd.png","barn","medicine chest, medicine cabinet"
"20","04c1bde5affb7b5b.png","military uniform","necklace"
"21","04cb9de291399d15.png","buckle","bobsled, bobsleigh, bob"
"22","05437214d1ba9580.png","soup bowl","chambered nautilus, pearly nautilus, nautilus"
"23","0546b47c13f154d3.png","jellyfish","leafhopper"
"24","05817a675e7506d1.png","mountain tent","radiator"
"25","059da9a174262427.png","basenji","lipstick, lip rouge"
"26","05cac1419419ce29.png","thatch, thatched roof","envelope"
"27","05f7c084329ff0c6.png","cliff, drop, drop-off","wok"
"28","060dfe239abfd547.png","park bench","gar, garfish, garpike, billfish, Lepisosteus osseus"
"29","064e1cc405062c85.png","jellyfish","crane"
"30","068c5d66662a837a.png","pizza, pizza pie","safety pin"
"31","06a0e36c443746b5.png","gazelle","collie"
"32","0707f3dfb7c29f5c.png","iPod","potter's wheel"
"33","080bec22a6b1d37d.png","reflex camera","sports car, sport car"
"34","088560551b91ceb0.png","groom, bridegroom","ski mask"
"35","08fbf75e60a6efb7.png","castle","moped"
"36","093402dc35f59027.png","pole","conch"
"37","0aebe24fc257286e.png","football helmet","cockroach, roach"
"38","0af0a5dfee6b84ff.png","castle","solar dish, solar collector, solar furnace"
"39","0b1d45bd9ab1064e.png","football helmet","fountain"
"40","0bd5123017590e39.png","freight car","baseball"
"41","0be391239ccba0f2.png","pier","earthstar"
"42","0c7ac4a8c9dfa802.png","dung beetle","scale, weighing machine"
"43","0ceee9a38409e30c.png","castle","perfume, essence"
"44","0d29832e5da60f5f.png","cliff, drop, drop-off","American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"
"45","0d6463e9a7ef6185.png","running shoe","seat belt, seatbelt"
"46","0d65cb9d26de4d37.png","gasmask, respirator, gas helmet","fox squirrel, eastern fox squirrel, Sciurus niger"
"47","0d85e0103989c850.png","monarch, monarch butterfly, milkweed butterfly, Danaus plexippus","pillow"
"48","0db0952967f6faa6.png","spider web, spider's web","face powder"
"49","0dffbfa7ba43cb90.png","dough","hummingbird"
"50","0e0299d6352a3fb8.png","dome","tiger shark, Galeocerdo cuvieri"
"51","0e0f1fd2ed183781.png","snail","corn"
"52","0e71473957df4793.png","turnstile","bison"
"53","0e83f990a04ed67d.png","steel arch bridge","triceratops"
"54","0e9bdc3ab80b1a71.png","gorilla, Gorilla gorilla","porcupine, hedgehog"
"55","0ed355357757528d.png","restaurant, eating house, eating place, eatery","shower curtain"
"56","0f36316247c03427.png","racket, racquet","nipple"
"57","0f9d8c86a9f38020.png","reflex camera","chambered nautilus, pearly nautilus, nautilus"
"58","10bc8784a5eb8843.png","prison, prison house","Chesapeake Bay retriever"
"59","10db986bad48a9d5.png","wallet, billfold, notecase, pocketbook","bittern"
"60","114c98c078c5aab0.png","African crocodile, Nile crocodile, Crocodylus niloticus","jellyfish"
"61","11954d93a7051cb5.png","bald eagle, American eagle, Haliaeetus leucocephalus","clog, geta, patten, sabot"
"62","11afa51200515f9a.png","stone wall","French horn, horn"
"63","11c53fe6feb856c6.png","carousel, carrousel, merry-go-round, roundabout, whirligig","rocking chair, rocker"
"64","121c87c3c822e2c5.png","brass, memorial tablet, plaque","Indian elephant, Elephas maximus"
"65","126175abfdcb1a21.png","candle, taper, wax light","CD player"
"66","128fca690a11f68c.png","drake","screwdriver"
"67","12cf4de43c70273e.png","speedboat","stupa, tope"
"68","12fb008451be82d4.png","grocery store, grocery, food market, market","fireboat"
"69","134bfd93a04b88b2.png","greenhouse, nursery, glasshouse","dough"
"70","137ab6ca314e9e35.png","lampshade, lamp shade","fire engine, fire truck"
"71","13810fcac72f12ba.png","trombone","scorpion"
"72","1394faa319bd353c.png","jeep, landrover","coil, spiral, volute, whorl, helix"
"73","143c74a57326fd40.png","bannister, banister, balustrade, balusters, handrail","barbell"
"74","1461ed9402248ddc.png","cornet, horn, trumpet, trump","pirate, pirate ship"
"75","1478a0fc99a988db.png","sarong","trifle"
"76","1484479b7630af0a.png","parachute, chute","wig"
"77","150249123e81930d.png","menu","catamaran"
"78","15d27dbdc9eeda7f.png","cab, hack, taxi, taxicab","rifle"
"79","16179baa1513c701.png","hummingbird","coffee mug"
"80","1685d066f8070081.png","seashore, coast, seacoast, sea-coast","otter"
"81","16bbe588e0ecc6ab.png","redshank, Tringa totanus","English foxhound"
"82","16ff75228179469c.png","kelpie","Indian elephant, Elephas maximus"
"83","172f992e1a0ebbc3.png","freight car","chain saw, chainsaw"
"84","1733cbc68a2ae05d.png","fire engine, fire truck","waffle iron"
"85","17cfccd62451a233.png","burrito","gasmask, respirator, gas helmet"
"86","17df043d369008f5.png","buckeye, horse chestnut, conker","snorkel"
